QuickFLow Export
Version: 1.0.0
Project name: 794b
Date: sex fev 5 12:10:42 2016

--------------------------------------------------------------------------------
Network: A1
Bars: 793
Lines: 792
--------------------------------------------------------------------------------

             Id  Voltage_A_Abs Voltage_A_Phas  Voltage_B_Abs Voltage_B_Phas  Voltage_C_Abs Voltage_C_Phas  Current_A_Abs Current_A_Phas  Current_B_Abs Current_B_Phas  Current_C_Abs Current_C_Phas    Load_A_Real    Load_A_Imag    Load_B_Real    Load_B_Imag    Load_C_Real    Load_C_Imag   Shunt_A_Real   Shunt_A_Imag   Shunt_B_Real   Shunt_B_Imag   Shunt_C_Real   Shunt_C_Imag              
             48    7717.365305   -2.856124638    7840.971374   -121.5836189    7883.202626    118.8711934              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             49    7717.365305   -2.856124638    7840.971374   -121.5836189    7883.202626    118.8711934    2.003693305    23.07391906    1.400580552    23.07391926   0.6921792661    23.07394531       14687.15         6256.7       10266.31        4373.43         5073.7        2161.39              0              0              0              0              0              0              
             50    7717.365305   -2.856124638    7840.971374   -121.5836189    7883.202626    118.8711934              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             51    7708.992053   -2.954678031    7837.134293   -121.6344311    7880.542061    118.8331483              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             52    7708.992053   -2.954678031    7837.134293   -121.6344311    7880.542061    118.8331483              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             53    7708.992053   -2.954678031    7837.134293   -121.6344311    7880.542061    118.8331483              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             54    7699.427746   -3.067344298    7832.747483   -121.6925571     7877.49964    118.7896201              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             55    7699.427746   -3.067344298    7832.747483   -121.6925571     7877.49964    118.7896201              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             56    7697.941349   -3.084858668    7832.065139   -121.7015877    7877.026231    118.7828588              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             57    7697.941349   -3.084858668    7832.065139   -121.7015877    7877.026231    118.7828588              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             58    7694.207399   -3.207570153    7840.286155   -121.6845979    7872.503274    118.8154352              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             59    7694.207399   -3.207570153    7840.286155   -121.6845979    7872.503274    118.8154352              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             60    7682.568492   -3.266153688    7825.004791   -121.7952542    7872.128212    118.7126895              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             61    7682.568492   -3.266153688    7825.004791   -121.7952542    7872.128212    118.7126895              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             62    7682.568492   -3.266153688    7825.004791   -121.7952542    7872.128212    118.7126895              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             63    7669.744778   -3.417678528    7819.106374   -121.8735841    7868.034649    118.6540016              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             64    7669.744778   -3.417678528    7819.106374   -121.8735841    7868.034649    118.6540016              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             65    7669.744778   -3.417678528    7819.106374   -121.8735841    7868.034649    118.6540016              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             66    7666.591621   -3.454997456     7817.65457   -121.8928651     7867.02673     118.639558              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             67    7666.591621   -3.454997456     7817.65457   -121.8928651     7867.02673     118.639558              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             68    7666.214438   -3.457894914    7818.032729   -121.8936481    7866.967674    118.6413237              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             69    7666.080983   -3.458400275    7817.283595    -121.895386    7866.791162     118.637947    3.497693512     23.0739176    2.591175689    23.07391031    1.655808376    23.07391811       25638.23       10921.84       18993.42        8091.16       12137.14         5170.4              0              0              0              0              0              0              
             70    7666.591621   -3.454997456     7817.65457   -121.8928651     7867.02673     118.639558              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             71    7664.558713   -3.479127622    7816.729924    -121.905227    7866.382936    118.6302587              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             72    7664.558713   -3.479127622    7816.729924    -121.905227    7866.382936    118.6302587              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
