QuickFLow Export
Version: 1.0.0
Project name: 794b
Date: sex fev 5 12:10:17 2016

--------------------------------------------------------------------------------
Network: A1
Bars: 793
Lines: 792
--------------------------------------------------------------------------------

             Id  Voltage_A_Abs Voltage_A_Phas  Voltage_B_Abs Voltage_B_Phas  Voltage_C_Abs Voltage_C_Phas  Current_A_Abs Current_A_Phas  Current_B_Abs Current_B_Phas  Current_C_Abs Current_C_Phas    Load_A_Real    Load_A_Imag    Load_B_Real    Load_B_Imag    Load_C_Real    Load_C_Imag   Shunt_A_Real   Shunt_A_Imag   Shunt_B_Real   Shunt_B_Imag   Shunt_C_Real   Shunt_C_Imag              
             47    7735.070724   -1.483242008    8026.712975   -120.6831296    7904.021115     120.469166              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             48    7730.680848    -1.51549447    8027.770241   -120.6956264    7902.836933    120.4775772              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             49    7730.680848    -1.51549447    8027.770241   -120.6956264    7902.836933    120.4775772    2.065056611    155.4105865    1.390053823    36.23045433   0.6978370513   -82.59636816       14687.15         6256.7       10266.31        4373.43         5073.7        2161.39              0              0              0              0              0              0              
             50    7730.680848    -1.51549447    8027.770241   -120.6956264    7902.836933    120.4775772              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             51    7722.619031   -1.571898182    8030.497151   -120.7172294    7900.372412    120.4954928              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             52    7722.619031   -1.571898182    8030.497151   -120.7172294    7900.372412    120.4954928              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             53    7722.619031   -1.571898182    8030.497151   -120.7172294    7900.372412    120.4954928              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             54    7713.524305    -1.63951194    8032.696055   -120.7429926    7897.894395    120.5128566              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             55    7713.524305    -1.63951194    8032.696055   -120.7429926    7897.894395    120.5128566              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             56    7712.109127   -1.650018583    8033.037357   -120.7470056    7897.521317    120.5155162              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             57    7712.109127   -1.650018583    8033.037357   -120.7470056    7897.521317    120.5155162              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             58    7702.280283   -1.751855211    8028.654423   -120.7971184    7894.413324    120.4753622              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             59    7702.280283   -1.751855211    8028.654423   -120.7971184    7894.413324    120.4753622              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             60    7697.330188    -1.75650324    8037.547167   -120.7874043    7893.168813    120.5468094              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             61    7697.330188    -1.75650324    8037.547167   -120.7874043    7893.168813    120.5468094              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             62    7697.330188    -1.75650324    8037.547167   -120.7874043    7893.168813    120.5468094              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             63    7685.097383    -1.84839663      8040.5336   -120.8221603    7889.825181    120.5703667              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             64    7685.097383    -1.84839663      8040.5336   -120.8221603    7889.825181    120.5703667              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             65    7685.097383    -1.84839663      8040.5336   -120.8221603    7889.825181    120.5703667              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             66    7682.092887   -1.871036498    8041.263126   -120.8307234    7889.004394    120.5762202              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             67    7682.092887   -1.871036498    8041.263126   -120.8307234    7889.004394    120.5762202              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             68    7681.583283   -1.872364358    8040.902475   -120.8316212    7888.769486    120.5756242              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             69    7681.595342   -1.871532508    8041.033379   -120.8310925    7888.832423    120.5767012    3.627845514    155.0545499    2.567458631    36.09499718    1.672306214   -82.49721693       25638.23       10921.84       18993.42        8091.16       12137.14         5170.4              0              0              0              0              0              0              
